file_name,page_count,file_type
NCT02347813,18,pdf
NCT02348840,5,pdf
NCT02348853,12,pdf
NCT02349178,16,pdf
NCT02349412,72,pdf
NCT02351167,12,pdf
NCT02352259,18,pdf
NCT02353091,10,pdf
NCT02355067,30,pdf
NCT02355821,68,pdf
NCT02357368,15,pdf
NCT02357784,6,pdf
NCT02357849,15,pdf
NCT02358993,8,pdf
NCT02359864,10,pdf
NCT02360215,12,pdf
NCT02360371,12,pdf
NCT02360488,50,pdf
NCT02360774,14,pdf
NCT02362451,2,pdf
NCT02362464,11,pdf
NCT02363322,182,pdf
NCT02363738,9,pdf
NCT02363998,14,pdf
NCT02364557,16,pdf
NCT02364726,12,pdf
NCT02365883,3,pdf
NCT02366312,13,pdf
NCT02366611,51,pdf
NCT02366871,104,pdf
NCT02367859,59,pdf
NCT02368405,7,pdf
NCT02369068,2,pdf
NCT02369484,9,pdf
NCT02369835,28,pdf
NCT02369900,12,pdf
NCT02370056,5,pdf
NCT02370810,2,pdf
NCT02371187,62,pdf
NCT02371889,17,pdf
NCT02374463,17,pdf
NCT02374814,12,pdf
NCT02374918,17,pdf
NCT02377089,20,pdf
NCT02378714,18,pdf
NCT02383407,14,pdf
NCT02384421,32,pdf
NCT02384668,2,pdf
NCT02385123,18,pdf
NCT02386085,4,pdf
NCT02387840,7,pdf
NCT02388633,10,pdf
NCT02389387,4,pdf
NCT02389465,58,pdf
NCT02390531,11,pdf
NCT02391025,11,pdf
NCT02393690,99,pdf
NCT02394548,15,pdf
NCT02395614,5,pdf
NCT02395627,83,pdf
NCT02397837,16,pdf
NCT02398227,13,pdf
NCT02398409,7,pdf
NCT02399228,10,pdf
NCT02400476,19,pdf
NCT02400671,9,pdf
NCT02400723,14,pdf
NCT02401347,20,pdf
NCT02403505,17,pdf
NCT02404103,36,pdf
NCT02404311,154,pdf
NCT02404753,5,pdf
NCT02406859,10,pdf
NCT02407145,1,pdf
NCT02408445,8,pdf
NCT02408887,12,pdf
NCT02410837,46,pdf
NCT02412228,75,pdf
NCT02412436,2,pdf
NCT02412748,4,pdf
NCT02412982,25,pdf
NCT02415309,8,pdf
NCT02415556,22,pdf
NCT02415998,8,pdf
NCT02416193,8,pdf
NCT02417246,58,pdf
NCT02418949,13,pdf
NCT02419144,106,pdf
NCT02419807,6,pdf
NCT02419937,5,pdf
NCT02420223,12,pdf
NCT02420652,17,pdf
NCT02420990,24,pdf
NCT02421419,7,pdf
NCT02421887,228,pdf
NCT02422446,14,pdf
NCT02423005,19,pdf
NCT02424955,11,pdf
NCT02424968,21,pdf
NCT02426658,8,pdf
NCT02427568,31,pdf
NCT02430480,14,pdf
NCT02431494,47,pdf
NCT02431897,16,pdf
NCT02432209,209,pdf
NCT02435381,12,pdf
NCT02435472,14,pdf
NCT02436356,7,pdf
NCT02437084,18,pdf
NCT02437110,14,pdf
NCT02437903,18,pdf
NCT02438722,99,pdf
NCT02440178,6,pdf
NCT02440464,192,pdf
NCT02440581,67,pdf
NCT02440711,28,pdf
NCT02441062,33,pdf
NCT02442297,13,pdf
NCT02442856,17,pdf
NCT02443519,7,pdf
NCT02444936,30,pdf
NCT02445651,11,pdf
NCT02445859,1,pdf
NCT02446847,16,pdf
NCT02447575,6,pdf
NCT02448706,5,pdf
NCT02449434,2,pdf
NCT02451124,10,pdf
NCT02451176,8,pdf
NCT02451423,52,pdf
NCT02453113,30,pdf
NCT02453191,17,pdf
NCT02453841,10,pdf
NCT02455453,12,pdf
NCT02455518,5,pdf
